Team,Shots pg,Possession%,PassSuccess%,AerialsWon,Shots OT pg,Dribbles pg,Fouled pg,Shots Conceded pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Position
Arsenal,16.1,55.7,83.8,19.8,6,15.8,11,10.7,19.4,20.2,9.9,1.7,3.0
Manchester City,17.6,57,84.6,15.9,6,11.4,7.8,10.2,19.8,15,11.7,2.1,2.0
Chelsea,14.8,54.1,83.2,18.6,5.5,12.9,11.4,10.9,20,9.7,10.1,2,1
Manchester United,13.5,58.8,85.1,15.8,4.7,9.8,10.4,10.1,19.4,17.9,11.9,2.3,4.0
Southampton,13.4,51.9,79.7,16.9,4.4,7,10.4,10.1,21.4,16.5,12.3,2.4,7.0
Liverpool,15.5,54.4,82.8,15,5.1,11.5,12.3,10.9,21,11.6,10.1,2,6
Tottenham,13.9,55.3,81.2,16,4.5,10.9,10.1,12.9,21.4,17.8,11.6,2,5
Stoke,13.2,50.2,77.5,24.4,3.6,9.4,10.8,12,19.3,13.2,12.8,2,9
Swansea,11.2,50.7,82.1,14.4,3.9,9.2,12.2,14.6,16.7,18.2,10.5,2.1,8.0
West Ham,12.9,46.7,74.6,22.9,4,6.8,11,15.5,17,13.3,11.1,2.4,12.0
Leicester,12,44.8,71.1,23.4,3.6,9.2,9.2,14.7,20.8,19.6,12,1.6,14.0
Crystal Palace,11.6,42.7,69.4,23.7,3.7,9.4,11.4,13.8,20.8,15.8,13.9,2,10
Everton,12.7,53.6,82.5,15.3,4.4,10.3,11.8,13.2,17.4,11.7,10.3,2.2,11.0
Burnley,11.3,44,70.4,25.1,3.3,6.4,10.5,15.6,16.1,14.9,10.7,1.7,19.0
West Bromwich Albion,10.8,44.9,75,17.2,3.5,6.3,10.7,14.4,18.3,15.5,11.1,1.7,13.0
Queens Park Rangers,14.1,46.3,70.8,21.7,3.9,8.1,10.3,16.4,20.6,14.8,11.8,2.1,20.0
Hull,11.3,45.6,76.5,21.9,3.4,6.7,10.6,13.2,20.1,15.9,11.9,1.9,18.0
Sunderland,10.7,46.2,76.1,15.3,3.4,9,11.8,16.5,20,15.2,11.6,1.8,16.0
Newcastle United,12.3,48.1,76.9,17.7,3.8,11.7,11.6,11.7,21.7,16.9,11.4,1,15
Aston Villa,11,49.1,79,18.5,3.3,7.6,11.1,12.6,16.4,12.7,10.6,1.9,17.0
